,Location,Count
0,borroloola,73
1,bing bong,29
2,nhulunbuy,175
3,katherine river 2,41
4,katherine river 4,46
5,west arm,282
6,leeders creek,48
7,mary river,23
8,northern suburb,563
9,hope inlet,743
10,blackmore river,149
11,berry creek,317
12,adelaide river,51
13,elizabeth river upstream,26
14,southport,219
15,woods inlet,216
16,elizabeth river downstream,263
17,middle arm,119
18,darwin,158
19,bynoe harbour,53
20,elizabeth river,108
21,howard river upstream,18
22,darwin river dam,34
23,pioneer creek,109
24,adelaide river township,15
25,east arm,197
26,manton dam,60
27,jabiru,1
28,fogg dam,68
29,wangi creek,192
30,howard river,57
31,katherine river 3,59
32,palmerston,238
33,daly river,41
34,katherine river 1,65
35,howard springs,21
36,roper,9
37,coburg,3
38,shady camp,4
39,ramingining,5
40,elsey,5
41,douglas river,37
42,wagait,58
43,maningrida,3
44,oenpelli,1
